n1,rela,n2
西班牙, 时区, UTC+1（夏时制：UTC+2）
西班牙, 政治体制, 议会制君主立宪制
西班牙, 国家领袖, 首相：佩德罗·桑切斯
西班牙, 国家领袖, 国王：费利佩六世
西班牙, 人口数量," 46,572,028（2017年）"
西班牙, 人口密度, 93.1人/平方公里（2017年）
西班牙, 主要民族, 卡斯蒂利亚人
西班牙, 主要民族, 加泰罗尼亚人
西班牙, 主要民族, 加利西亚人
西班牙, 主要民族, 巴斯克人
西班牙, 主要宗教, 天主教
西班牙, 国土面积, 505925平方公里
西班牙, 水域率, 1.04%
西班牙, GDP总计, 1.311万亿美元（2017年
西班牙, GDP总计, 国际汇率）
西班牙, 人均GDP, 28157美元（2017年
西班牙, 人均GDP, 国际汇率）
西班牙, 国际电话区号, +34
西班牙, 国际域名缩写, .es
西班牙, 道路通行, 靠右驾驶
西班牙, 国花, 石榴花
西班牙, 国花, 康乃馨
西班牙, 国家格言, 超越极致（Plus ultra）
西班牙, 国石, 绿宝石
西班牙, 国球, 水球
西班牙, 体育活动, 斗牛
西班牙, 体育活动, 足球
西班牙, 气候分布, 温带海洋性气候
西班牙, 气候分布, 地中海气候
西班牙, 著名节日, 奔牛节
西班牙, 所属地形区, 伊比利亚半岛
西班牙, 人种, 欧罗巴人种
西班牙, 最大城市, 马德里
西班牙, 人类发展指数, 0.879（高
西班牙, 人类发展指数, 2014年）
西班牙, 主要学府, 马德里自治大学
西班牙, 主要学府, 萨拉曼卡大学
西班牙, tag, 二战
西班牙, tag, 二战参战国家
中华人民共和国, 中文名称, 中华人民共和国
中华人民共和国, 英文名称, People's Republic of China
中华人民共和国, 简称, 中国
中华人民共和国, 所属洲, 亚洲
中华人民共和国, 首都, 北京
中华人民共和国, 主要城市, 上海
中华人民共和国, 主要城市, 广州
中华人民共和国, 主要城市, 深圳
中华人民共和国, 主要城市, 武汉
中华人民共和国, 主要城市, 台北
中华人民共和国, 主要城市, 南京
中华人民共和国, 主要城市, 成都
中华人民共和国, 主要城市, 重庆
中华人民共和国, 主要城市, 沈阳
中华人民共和国, 主要城市, 西安
中华人民共和国, 国庆日, 10月1日
中华人民共和国, 国歌, 义勇军进行曲
中华人民共和国, 国家代码, CHN
中华人民共和国, 官方语言, 汉语（通用普通话）
中华人民共和国, 货币, 澳门币
中华人民共和国, 货币, 人民币（港元
中华人民共和国, 货币, 新台币)
中华人民共和国, 时区, 东八区（北京时间）
中华人民共和国, 政治体制, 人民代表大会制度
中华人民共和国, 国家领袖, 国家主席习近平
中华人民共和国, 人口数量, 13.9008亿人（2017年）
中华人民共和国, 人口密度, 144.3人/平方公里（2017年）
中华人民共和国, 主要民族, 汉族
中华人民共和国, 主要民族, 满族
中华人民共和国, 主要民族, 蒙古族
中华人民共和国, 主要民族, 回族
中华人民共和国, 主要民族, 维吾尔族
中华人民共和国, 主要民族, 藏族
中华人民共和国, 主要民族, 壮族
中华人民共和国, 主要宗教, 道教
中华人民共和国, 主要宗教, 佛教
中华人民共和国, 主要宗教, 基督新教
中华人民共和国, 主要宗教, 天主教
中华人民共和国, 主要宗教, 伊斯兰教
中华人民共和国, 国土面积," 9,634,057平方公里"
中华人民共和国, 国土面积, 领海约470万平方公里
中华人民共和国, 水域率, 2.8%
中华人民共和国, GDP总计, 827122亿元（2017年）
中华人民共和国, 人均GDP, 5.966万元（2017年）
中华人民共和国, 国际电话区号," +86（港:+852,澳:+853,台:+886）"
中华人民共和国, 国际域名缩写," .cn（港：.hk,澳：.mo,台：.tw）"
中华人民共和国, 国际域名缩写, com
中华人民共和国, 道路通行, 靠右驾驶（香港
中华人民共和国, 道路通行, 澳门靠左驾驶）
中华人民共和国, 风景名胜, 故宫
中华人民共和国, 风景名胜, 长城
中华人民共和国, 风景名胜, 泰山
中华人民共和国, 风景名胜, 兵马俑
中华人民共和国, 执政党, 中国共产党
中华人民共和国, 最长河流, 长江
中华人民共和国, 最大湖泊, 青海湖
中华人民共和国, 海岸线, 1.8万千米
中华人民共和国, 地理最高点, 珠穆朗玛峰（8844.43米）
中华人民共和国, 地理最低点, 吐鲁番艾丁湖洼地（-154.31米）
中华人民共和国, 中央银行, 中国人民银行
中华人民共和国, 主要节日, 春节
中华人民共和国, 主要节日, 清明节
中华人民共和国, 主要节日, 端午节
中华人民共和国, 主要节日, 中秋节
中华人民共和国, 高等学府, 北京大学
中华人民共和国, 高等学府, 清华大学
中华人民共和国, 高等学府, 复旦大学
中华人民共和国, 高等学府, 香港大学
中华人民共和国, 法律体系, 欧陆法系（香港为英美法系）
中华人民共和国, 国家宪法, 中华人民共和国宪法
中华人民共和国, 特别行政区, 香港
中华人民共和国, 特别行政区, 澳门
中华人民共和国, 国旗, 五星红旗
中华人民共和国, tag, 社会
中华人民共和国, tag, 政治
美国, 中文名称, 美利坚合众国
美国, 英文名称, United States of America
美国, 简称, 美国
美国, 所属洲, 北美洲
美国, 首都, 华盛顿
美国, 主要城市, 纽约
美国, 主要城市, 洛杉矶
美国, 主要城市, 芝加哥
美国, 主要城市, 休斯敦
美国, 主要城市, 费城
美国, 主要城市, 旧金山
美国, 主要城市, 波士顿
美国, 主要城市, 匹兹堡
美国, 国庆日, 1776年7月4日（独立日）
美国, 国歌, 星光灿烂的旗帜
美国, 国歌, （The Star-Spangled Banner）
美国, 国家代码, USA
美国, 官方语言, 英语
美国, 货币, 美元
美国, 时区, UTC-4至UTC-12（夏时制：UTC-4至UTC-10）
美国, 政治体制, 总统制共和制
美国, 国家领袖, 副总统：迈克·彭斯
美国, 国家领袖, 总统：唐纳德·特朗普
美国, 人口数量, 3.257亿（2017年）
美国, 人口密度, 35.6人/平方公里（2017年）
美国, 主要民族, 欧裔美国人
美国, 主要民族, 非裔美国人
美国, 主要民族, 拉丁裔
美国, 主要民族, 亚裔美国人
美国, 主要民族, 美洲原住民
美国, 主要宗教, 基督新教
美国, 主要宗教, 天主教
美国, 主要宗教, 摩门教
美国, 主要宗教, 犹太教
美国, 国土面积, 937万平方公里
美国, 水域率, 6.76%
美国, GDP总计, 国际汇率）
美国, GDP总计, 19.363万亿美元（2017年
美国, 人均GDP, 59496美元（2017年
美国, 人均GDP, 国际汇率）
美国, 国际电话区号, +1
美国, 国际域名缩写, .us
美国, 道路通行, 靠右驾驶
美国, 中央银行, 美联储
美国, 主要学府, 斯坦福大学
美国, 主要学府, 耶鲁大学
美国, 人类发展指数, 0.914（第5名
美国, 人类发展指数, 极高
美国, 人类发展指数, 2014年）
美国, 国家格言, 天佑国事
美国, 国家格言, 合众为一
美国, 国花，国鸟, 玫瑰花
美国, 国花，国鸟, 白头海雕
美国, 名人, 林肯
美国, 名人, 华盛顿
美国, 名人, 杰克逊
美国, 名人, 罗斯福
美国, 法律体系, 英美法系（普通法）
美国, 国旗, 星条旗（Stars and Stripes）
美国, 著名公司, 微软
美国, 著名公司, 苹果
美国, 著名公司, 波音
美国, 著名公司, 通用
美国, 著名公司, 亚马逊
美国, 国家象征, 山姆大叔
美国, 国家象征, 自由女神
美国, 国家象征, 超级英雄
美国, 最大城市, 纽约
美国, tag, 二战
美国, tag, 西半球
美国, tag, 北美
美国, tag, 北半球
美国, tag, 二战参战国家
韩国, 中文名称, 大韩民国
韩国, 英文名称, Republic of Korea
韩国, 简称, 韩国
韩国, 所属洲, 亚洲
韩国, 首都, 首尔
韩国, 主要城市, 釜山
韩国, 主要城市, 仁川
韩国, 主要城市, 蔚山
韩国, 主要城市, 大邱
韩国, 主要城市, 大田
韩国, 主要城市, 光州
韩国, 主要城市, 水原
韩国, 主要城市, 济州市
韩国, 国庆日, 1948年8月15日
韩国, 国歌, 爱国歌
韩国, 国家代码, KOR
韩国, 官方语言, 韩语
韩国, 货币, 韩元（KRW
韩国, 货币, ₩）
韩国, 时区, UTC+9
韩国, 政治体制, 总统制共和制
韩国, 国家领袖, 总统：文在寅
韩国, 人口数量," 51,466,201（2017年）"
韩国, 人口密度, 528人/平方公里（2017年）
韩国, 主要民族, 韩民族
韩国, 主要宗教, 基督新教
韩国, 主要宗教, 佛教
韩国, 主要宗教, 天主教
韩国, 国土面积, 100284平方公里
韩国, 水域率, 0.3%
韩国, GDP总计, 1.531万亿美元（2017年
韩国, GDP总计, 国际汇率）
韩国, 人均GDP, 29743美元（2017年
韩国, 人均GDP, 国际汇率）
韩国, 国际电话区号, +82
韩国, 国际域名缩写, .kr
韩国, 道路通行, 靠右驾驶
韩国, 法律体系, 大陆法系和英美法系
韩国, 国旗, 太极旗
韩国, 国花, 木槿花
韩国, 国鸟, 喜鹊
韩国, 人类发展指数, 0.901（极高
韩国, 人类发展指数, 2016年）
韩国, 中央银行, 韩国银行
韩国, 大型企业, 三星
韩国, 大型企业, LG
韩国, 大型企业, 现代
韩国, 大型企业, 起亚
韩国, 大型企业, 大宇
韩国, 主要学府, 国立首尔大学
韩国, 主要学府, 韩国科学技术院
韩国, 著名景点, 南山塔 乐天世界 雪岳山 济州岛
韩国, 民族象征, 檀君 阿里郎 木槿 太极虎
韩国, 气候, 温带季风气候和亚热带季风气候
韩国, 地理最高点, 汉拿山
韩国, tag, 国家
日本, 中文名称, 日本国
日本, 英文名称, Japan
日本, 简称, 日本
日本, 所属洲, 亚洲
日本, 首都, 东京
日本, 主要城市, 横滨
日本, 主要城市, 大阪
日本, 主要城市, 名古屋
日本, 主要城市, 札幌
日本, 主要城市, 福冈
日本, 主要城市, 神户
日本, 主要城市, 京都
日本, 主要城市, 千叶
日本, 主要城市, 埼玉
日本, 国庆日, 12月23日
日本, 国歌, 君之代
日本, 国家代码, JPN
日本, 官方语言, 日语
日本, 货币, ￥
日本, 货币, JPY
日本, 货币, yen）
日本, 货币, 日元（円
日本, 时区, UTC+9
日本, 政治体制, 议会制君主立宪制
日本, 国家领袖, 天皇：明仁
日本, 国家领袖, 首相：安倍晋三
日本, 人口数量, 1.268亿（2017年）
日本, 人口密度, 347.8人/平方公里（2017年）
日本, 主要民族, 大和族
日本, 主要民族, 琉球族
日本, 主要民族, 阿伊努族
日本, 主要宗教, 神道教
日本, 主要宗教, 佛教
日本, 国土面积, 377972.28平方公里
日本, 水域率, 0.8%
日本, GDP总计, 4.872万亿美元（2017年
日本, GDP总计, 国际汇率）
日本, 人均GDP, 38428美元（2017年
日本, 人均GDP, 国际汇率）
日本, 国际电话区号, 81
日本, 国际域名缩写, .jp
日本, 道路通行, 靠左驾驶
日本, 国家象征, 天皇
日本, 国家象征, 樱花
日本, 国家象征, 菊花
日本, 国家象征, 绿雉
日本, 人类发展指数, 0.903（极高
日本, 人类发展指数, 2016年）
日本, 法律体系, 欧陆法系
日本, 中央银行, 日本银行
日本, 地理最高点, 富士山（3775.63米）
日本, 著名企业, 丰田
日本, 著名企业, 本田
日本, 著名企业, 索尼
日本, 著名企业, 三菱
日本, 著名企业, 东芝
日本, 主要学府, 东京大学
日本, 主要学府, 京都大学
日本, 气候, 温带季风气候
日本, 气候, 亚热带季风气候
日本, 历史人物, 织田信长
日本, 历史人物, 丰臣秀吉
日本, 历史人物, 德川家康
日本, 民族象征, 太阳
日本, 民族象征, 天照大神
日本, 民族象征, 樱花
日本, 著名人物, 山口百惠
日本, 著名人物, 高仓健
日本, 著名人物, 宇津井健
日本, 著名景点, 银座
日本, 著名景点, 京都
日本, 著名景点, 富士山
日本, 著名景点, 平城京
日本, 年号, 平成（1989年—）
日本, 国旗, 日章旗
日本, tag, 二战
日本, tag, 国家
日本, tag, 二战参战国家
M·德布鲁因, 国籍, 瑞典
英孚教育, 所属地区, 瑞典
ef, 国家, 瑞典
2017年诺贝尔奖, 地点, 瑞典
加布里埃尔·索米, 国籍, 瑞典
C·贺达, 国籍, 瑞典
查科布森, 国籍, 瑞典
瑞典国教会, 中文名, 瑞典国教会
瑞典国教会, 外文名, Church of Sweden
瑞典国教会, 宗教, 基督教-新教
瑞典国教会, 宗派, 路德宗
瑞典国教会, 教会体系, 高教会/大公福音
瑞典国教会, 教会制度, 主教制
瑞典国教会, 国家地区, 瑞典
瑞典国教会, 成立年份, 1527年/1593年
瑞典国教会, tag, 组织机构
瑞典国教会, tag, 社会
科尼赛克, 国别, 瑞典
道格·博格奎斯特, 国籍, 瑞典
雅各布·约翰森, 国籍, 瑞典
帽子戏法, 地区, 瑞典
婚姻生活, 制片地区, 瑞典
埃尔坎·岑金, 国籍, 瑞典
marasystem, 创立地点, 瑞典
韦尔德斯特姆, 国籍, 瑞典
倒金字塔管理法, 国家, 瑞典
达伦, 国籍, 瑞典
佐兰, 国籍, 瑞典
K·林德布劳德, 国籍, 瑞典
西尔维娅·索莫莱特, 国籍, 瑞典
瑞典LKV-91式自行反坦克炮, 中文名称, 瑞典LKV-91式自行反坦克炮
瑞典LKV-91式自行反坦克炮, 国家, 瑞典
瑞典LKV-91式自行反坦克炮, 最大速度, 65公里/小时
瑞典LKV-91式自行反坦克炮, 最大行程, 500公里
瑞典LKV-91式自行反坦克炮, 用途, 支援步兵抗击坦克
瑞典LKV-91式自行反坦克炮, tag, 武器装备
梅尔贝里, 国籍, 瑞典
瑞典中央银行, 中文名, 瑞典中央银行
瑞典中央银行, 外文名, Sveriges Riksbank
瑞典中央银行, 外文名, Riksbanken
瑞典中央银行, 成立时间, 1668年
瑞典中央银行, 地点, 瑞典
马格内斯·泰朋, 国籍, 瑞典
H·马迪臣, 国籍, 瑞典
瑞典SKPFm/42轮式装甲人员输送车, 中文名, 瑞典SKPFm/42轮式装甲人员输送车
瑞典SKPFm/42轮式装甲人员输送车, 国别, 瑞典
瑞典SKPFm/42轮式装甲人员输送车, 研制单位, 斯堪尼亚-瓦比斯公司
瑞典SKPFm/42轮式装甲人员输送车, 现状, 完成生产计划
瑞典SKPFm/42轮式装甲人员输送车, tag, 社会
瑞典SKPFm/42轮式装甲人员输送车, tag, 武器装备
瑞典SKPFm/42轮式装甲人员输送车, tag, 战争
芒斯·塞默洛, 国籍, 瑞典
维克托·伦德贝里, 国籍, 瑞典
约翰·魏兰德, 国籍, 瑞典
华夏医科大学, 合作国家, 瑞典
莎拉·拉尔森, 国籍, 瑞典
野草莓, 制片地区, 瑞典
野草莓, 拍摄地点, 瑞典
野草莓, 制片地区, 瑞典
野草莓, 拍摄地点, 瑞典
D·哈马舍尔德, 国籍, 瑞典
达格·哈马舍尔德, 国籍, 瑞典
Emanuel Swedenborg, 国家, 瑞典
马丁·达赫林, 国籍, 瑞典
sunshine in the rain, 地区, 瑞典
S·博查森, 国籍, 瑞典
国际女郎, 制片地区, 瑞典
旱地, 开发商, 瑞典
格里普, 国籍, 瑞典
米凯尔·安通森, 国籍, 瑞典
Ana johnsson, 国籍, 瑞典
斯韦德贝里, 国籍, 瑞典
安德烈亚斯·雅各布松, 国籍, 瑞典
马蒂亚斯·孔查, 国籍, 瑞典
卡罗琳·赛格, 国籍, 瑞典
拉尔斯·弗洛兰德, 国籍, 瑞典
拉尔斯·弗洛兰德, 出生地, 瑞典
爱琳·兰朵, 国籍, 瑞典
埃米尔·克拉夫特, 国籍, 瑞典
阿达伦31, 制片地区, 瑞典
曼蒂拉, 国籍, 瑞典
曼蒂拉, 出生地, 瑞典
舍勒，C·W., 国籍, 瑞典
玛丽·哈马斯特伦, 国籍, 瑞典
吕勒奥足球俱乐部, 所属地区, 瑞典
瓦里迪, 国籍, 瑞典
约翰·埃尔曼德, 国籍, 瑞典
斯特兰·斯卡斯加德, 国籍, 瑞典
埃里亚斯·斯托姆, 国籍, 瑞典
海伦娜·马特森, 国籍, 瑞典
沃尔斯特德, 国籍, 瑞典
沃尔斯特德, 出生地点, 瑞典
瑞典AK5式5.56mm突击步枪, 中文名, 瑞典AK5式5.56mm突击步枪
瑞典AK5式5.56mm突击步枪, 研制国别, 瑞典
瑞典AK5式5.56mm突击步枪, 分类, E922.12
瑞典AK5式5.56mm突击步枪, 关键词, 枪械 步枪 陆军装备
瑞典AK5式5.56mm突击步枪, tag, 武器装备
克纳特·博尔奇, 国籍, 瑞典
王庶民, 国籍, 瑞典
S型主战坦克, 国家, 瑞典
瑞典汇武德大学, 中文名, 瑞典汇武德大学
瑞典汇武德大学, 创办时间, 1977年
瑞典汇武德大学, 类别, 公立
瑞典汇武德大学, 人数, 8300名
瑞典汇武德大学, tag, 教育
瑞典汇武德大学, tag, 学校
安妮卡-索伦斯, 国籍, 瑞典
H·拉天伦, 国籍, 瑞典
Zai, 国籍, 瑞典
SILENCER, 国籍, 瑞典
瑞典蒂格PSH-77式头盔, 中文名, 瑞典蒂格PSH-77式头盔
瑞典蒂格PSH-77式头盔, 生产单位, 瑞典蒂格·比科德公司
瑞典蒂格PSH-77式头盔, 现状, 装备
瑞典蒂格PSH-77式头盔, 用途, 防杀伤破片和枪弹
艾舒沙基, 国籍, 瑞典
Titiyo, 国籍, 瑞典
海琳娜·斯隆菲特, 国籍, 瑞典
马鲁迪, 国籍, 瑞典
杜夫·龙格尔, 国籍, 瑞典
阿波罗战斗机, 原产国, 瑞典
萨博-37战斗机, 国家, 瑞典
诺科平足球俱乐部, 所属国家, 瑞典
B·费里兹, 国籍, 瑞典
彼得·汉松, 国籍, 瑞典
奥斯卡·斯旺, 国籍, 瑞典
奥斯卡·斯旺, 出生地, 瑞典
minecraft pe, 地区, 瑞典
感官中枢, 制片地区, 瑞典
瑞典设计型酒店, 中文名称, 瑞典设计型酒店
瑞典设计型酒店, 英文名称, Svenska Design Hotel
瑞典设计型酒店, 房间数量, 29
瑞典设计型酒店, 所属地区, 孟买
瑞典设计型酒店, tag, 组织机构
瑞典设计型酒店, tag, 社会
彭图斯·简森, 国籍, 瑞典
伯格贺尔斯, 国籍, 瑞典
克里赘金小蜂, 分布区域, 瑞典
马格努斯·海德曼, 国籍, 瑞典
瑞典数据法案, tag, 社会事件
瑞典数据法案, tag, 社会
林奈大学, 所属地区, 瑞典
BROBV-941冲击桥, 生产国家, 瑞典
瑞典按摩, 中文名, 瑞典按摩
瑞典按摩, 外文名, Swedish Massage
瑞典按摩, tag, 生活
法伦的大铜山矿区, 国家, 瑞典
英格玛·恩博瑞, 国籍, 瑞典
英格玛·恩博瑞, 出生地, 瑞典
瑞典, 中文名称, 瑞典王国
瑞典, 英文名称, The Kingdom of Sweden
瑞典, 简称, 瑞典
瑞典, 所属洲, 欧洲
瑞典, 首都, 斯德哥尔摩
瑞典, 主要城市, 哥德堡
瑞典, 主要城市, 马尔默
瑞典, 主要城市, 乌普萨拉
瑞典, 主要城市, 基律纳
瑞典, 国庆日, 1523年6月6日
瑞典, 国歌, 你古老的光荣的北国山乡
瑞典, 国家代码, SWE
瑞典, 官方语言, 瑞典语
瑞典, 货币, 瑞典克朗
瑞典, 时区, UTC+1（夏时制：UTC+2）
瑞典, 政治体制, 议会制君主立宪制
瑞典, 国家领袖, 首相：斯特凡·勒文
瑞典, 国家领袖, 国王：卡尔十六世·古斯塔夫
瑞典, 人口数量," 10,067,744（2017年）"
瑞典, 人口密度, 24.7人/平方公里（2017年）
瑞典, 主要民族, 瑞典人
瑞典, 主要民族, 萨米族
瑞典, 主要宗教, 基督教路德宗
瑞典, 国土面积, 449964平方公里
瑞典, 水域率, 8.7%
瑞典, GDP总计, 5380.4亿美元（2017年
瑞典, GDP总计, 国际汇率）
瑞典, 人均GDP, 53442美元（2017年
瑞典, 人均GDP, 国际汇率）
瑞典, 国际电话区号, +46
瑞典, 国际域名缩写, .se
瑞典, 道路通行, 靠右驾驶
瑞典, 人类发展指数, 0.898（世界12
瑞典, 人类发展指数, 极高
瑞典, 人类发展指数, 2014年）
瑞典, 注音, ㄖㄨㄟˋ ㄉㄧㄢˇ
瑞典, 国花, 铃兰
瑞典, 国树, 欧洲白蜡
瑞典, 国鸟, 乌鸫（百舌）
瑞典, 国石, 水晶
瑞典, 地理位置, 北欧斯堪的纳维亚半岛的东南部
瑞典, 官网, http://www.regeringen.se/
瑞典, 著名高校, 斯德哥尔摩大学
瑞典, 著名高校, 隆德大学
米罗萨维奇, 国籍, 瑞典
米罗萨维奇, 出生地, 瑞典
安托宁, 国籍, 瑞典
马丁·托尼·瓦伊克瓦·奥尔松, 国籍, 瑞典
瑞典风情酒吧餐厅, 餐馆名称, 瑞典风情酒吧餐厅
瑞典风情酒吧餐厅, 地区, 青岛市
瑞典风情酒吧餐厅, 人均价格, 64
瑞典风情酒吧餐厅, tag, 组织机构
奥斯特林, 出生地, 瑞典
安妮卡·索伦斯坦, 国籍, 瑞典
“日出”望远镜, 升空地点, 瑞典
sky fire, 国籍, 瑞典
Mithotyn, 国家, 瑞典
瑞典拉普赫德犬, 中文学名, 瑞典拉普赫德犬
瑞典拉普赫德犬, 别称, 拉普兰德卡斯贝特犬
瑞典拉普赫德犬, 界, 动物界
瑞典拉普赫德犬, 科, 犬科
瑞典拉普赫德犬, 种, 绒毛犬
瑞典拉普赫德犬, 分布区域," 纳维亚,英国"
瑞典拉普赫德犬, tag, 生物物种
瑞典拉普赫德犬, tag, 宠物
瑞典拉普赫德犬, tag, 动物
埃克伦德, 国籍, 瑞典
阿巴少年组, 国籍, 瑞典
萨穆埃尔·霍尔门, 国籍, 瑞典
Kristoffer Nordfeldt, 国籍, 瑞典
斯德哥尔摩皇家音乐学院, 国家, 瑞典
ASP-60, 原产地, 瑞典
奥格斯堡同盟, 参与国, 瑞典
Saab-35战斗机, 国家, 瑞典
Saab-35战斗机, 装备国家, 瑞典
爱克林, 总部地点, 瑞典
saerdna, 国籍, 瑞典
教室别恋, 制片地区, 瑞典
教室别恋, 拍摄地点, 瑞典
卡杰萨·贝格奎斯特, 国籍, 瑞典
AAO BRANDS, 国家, 瑞典
埃里克·博格, 国籍, 瑞典
托马斯·恩奎斯特, 国籍, 瑞典
海伦娜·赛格尔, 国籍, 瑞典
瑞典学派, 中文名, 瑞典学派
瑞典学派, 外文名, The Swedish School
瑞典学派, 学派, 斯德哥尔摩
瑞典学派, 学科, 经济学
瑞典学派, tag, 非地理
瑞典学派, tag, 经济
瑞典学派, tag, 文化
瑞典学派, tag, 政治
英孚教育, 所属地区, 瑞典
特蕾莎·阿什马尔, 国籍, 瑞典
特蕾莎·阿什马尔, 出生地, 瑞典
Jens Bergensten, 国籍, 瑞典
歌德兰岛, 国家, 瑞典
MPR-II, 国家, 瑞典
lover, 国籍, 瑞典
加费莱, 所属地区, 瑞典
Happyland, 发行地区, 瑞典
Amanda Jenssen, 出生地, 瑞典
瑞典BV206S装甲全地形车, 中文名, 瑞典BV206S装甲全地形车
瑞典BV206S装甲全地形车, 开发公司, 瑞典阿尔维斯·赫格隆
瑞典BV206S装甲全地形车, 类型, 履带式装甲全地形车辆
