id,name,nationality,birthplace,birthday,height,weight,team_id,position
203,杰伊·达席尔瓦,英格兰（巴西）双重国籍,卢顿,1998年4月22日,170cm,62kg,8,左后卫
204,维利·卡巴列罗,阿根廷,孔斯蒂图西翁镇,1981年9月28日,186cm,83kg,8,门将
205,罗伯特·保罗·格林,英格兰,切尔特赛（英格兰）,1980-01-18,190厘米,93公斤,8,门将
206,贾马尔·布莱克曼,英格兰（牙买加）双重国籍,伦敦-克罗伊登,1993年10月27日,199cm,79kg,8,门将
207,迪容·斯特林,英格兰,伦敦,1999年10月24日,180cm,68kg,8,右后卫
208,迪鲍特·库尔图瓦,比利时,比利时,1992年5月11日,1.98米,88公斤,8,门将
209,马科斯·阿隆索,西班牙,马德里,1990年12月28日,188cm,87kg,8,左后卫/左翼卫
211,塞尔日·奥里耶,科特迪瓦,阿比让,1992年12月24日,176cm,76kg,9,右后卫
212,乌戈·洛里斯,法国,尼斯,1986年12月26日,188cm,78kg,9,门将
214,乔·乔丹,苏格兰,卡卢克（苏格兰）,1951-12-15,180cm,71kg,9,助理教练
215,乔希·奥诺马,英格兰,伦敦,1997年4月27日,185cm,64kg,9,中前卫
216,乔治-凯文·恩库杜,法国（喀麦隆）双重国籍,凡尔赛,1995年2月13日,174cm,68kg,9,右边锋
217,亚戈·法尔克·席尔瓦,西班牙,Vigo（西班牙）,1990-01-04,174cm,67kg,9,左前卫/右前卫/前腰
218,史蒂文·杰尔姆·皮纳尔,南非,南非约翰内斯堡,1982-03-17,180厘米,66公斤,9,中场
219,哈里·温克斯,英格兰,赫默尔亨普斯特德,1996年2月2日,178cm,65kg,9,中前卫
220,阿苏·埃科托,喀麦隆,法国,1984年3月24日,178cm,70kg,9,后卫
221,彼得斯,英格兰,伦敦,1997年4月13日,173cm,62kg,9,右后卫
223,埃里克·戴尔,英格兰,切尔滕纳姆,1994年1月15日,193cm,88kg,9,后腰
224,基兰·特里皮尔,英国,英格兰巴里,1990-09-19,178 cm,71.5 kg,9,右边后卫
225,大卫·巴顿,英格兰,Stevenage,1989年2月27日,191cm,83kg,9,门将
226,帕乌·洛佩斯,西班牙,吉罗纳,1994年12月13日,189cm,77kg,9,门将
227,德勒·阿里,英国,米尔顿凯恩斯,1996年4月11日,188cm,76kg,9,前腰
228,恩库杜,法国（喀麦隆）双重国籍,凡尔赛,1995年2月13日,174cm,68kg,9,右边锋
229,扬·费尔通亨,比利时,比利时圣尼古拉斯,1987-04-24,189 cm,87.5 kg,9,后卫
230,本·戴维斯,威尔士,尼思,1993年4月24日,181cm,76kg,9,左后卫
231,毛里西奥·波切蒂诺,阿根廷,圣塔菲墨菲镇,1972年3月2日,182cm,80kg,9,中后卫
232,维克托·万亚玛,肯尼亚,内罗毕,1991年6月25日,184cm,80kg,9,后腰
233,费尔南多·略伦特,西班牙,潘普洛纳,1985年2月26日,195cm,90kg,9,中锋
234,赫德斯通,英格兰,英格兰诺丁汉,1986-12-28,190.0  CM,71.0  KG,9,中场
235,阿苏·埃科托,喀麦隆,法国阿拉斯,1978年4月8日,177厘米,71KG,9,后卫
236,齐里切斯,罗马尼亚,Bacau（罗马尼亚）,1989-11-14,183cm,75kg,9,中后卫
237,阿隆·内曼,英格兰（法国）双重国籍,亚眠,1997年9月26日,170cm,不详,10,右边锋
238,阿莱克斯·加西亚,西班牙,乌尔德科纳,1997年6月28日,173cm,61kg,10,后腰
239,埃梅里克·拉波尔特,法国（西班牙）双重国籍,阿让,1994年5月27日,191cm,85kg,10,中后卫
240,本杰明·门迪,法国（塞内加尔）双重国籍,隆格瑞莫,1994年7月17日,185cm,85kg,10,左后卫
241,伯纳多·席尔瓦,葡萄牙,里斯本,1994年8月10日,173cm,65kg,10,右边锋
242,克劳迪奥·布拉沃,智利（西班牙）双重国籍,韦路高,1983年4月13日,184cm,84kg,10,门将
243,大卫·席尔瓦,西班牙,阿尔基内金,1986年1月8日,170cm,67kg,10,前腰
244,D·席尔瓦,西班牙,拉斯帕尔马斯,1986年1月8日,170cm,67kg,10,前腰
245,杰克·哈里森,英格兰,特伦特河畔斯托克,1996年11月20日,175cm,70kg,10,右边锋
247,约翰·斯通斯,英格兰,巴恩斯利,1994年5月28日,188cm,70kg,10,中后卫
248,勒鲁瓦·萨内,德国（法国）双重国籍,埃森,1996年1月11日,184cm,75kg,10,左边锋
249,马洛斯·莫雷诺,哥伦比亚,麦德林,1996年9月20日,173cm,66kg,10,左边锋
250,亚历山大·津琴科,乌克兰,拉多梅什利,1996年12月15日,175cm,68kg,10,前腰
251,菲尔·福登 （标准词）,dirty_data,斯托克波特,2000年5月28日,171cm,70kg,10,中前卫
252,菲利普·桑德勒,荷兰,阿姆斯特丹,1997年2月10日,190cm,76kg,10,中后卫
253,伊尔凯·京多安,德国,盖尔森基兴,1990年10月24日,180cm,85kg,10,中前卫
255,克劳迪奥·安德雷斯·布拉沃·穆尼奥斯,智利,圣地亚哥-韦路高,1983年4月13日,184cm,84kg,10,门将
256,克劳迪奥·布拉沃,智利,圣地亚哥-韦路高,1983年4月13日,184cm,84kg,10,门将
258,凯尔文·埃图胡,英格兰,尼日利亚卡诺,1988-05-30,180.0  CM,71.0  KG,10,中场
259,凯文·德·布吕纳,比利时,德龙恩,1991年6月28日,181cm,68kg,10,前腰
263,加布里埃尔·热苏斯,巴西,圣保罗,1997年4月3日,175cm,73kg,10,前锋
264,卡约德,尼日利亚,Ibadan,1993-05-08,174厘米,65kg,10,前锋
265,古恩,英格兰（苏格兰）双重国籍,诺维奇,1996年1月22日,196cm,77kg,10,门将
266,哈兰德,挪威,斯塔万格(挪威),1972-11-23,186cm,82kg,10,中前卫
267,坎帕尼,比利时（民主刚果）双重国籍,布鲁塞尔-于克勒,1986年4月10日,193cm,85kg,10,中后卫
268,埃利亚奎姆·芒加拉,法国（比利时）双重国籍,科隆布,1991年2月13日,187cm,84kg,10,中后卫
269,埃利克姆·芒加拉,法国（比利时）双重国籍,科隆布,1991年2月13日,187cm,84kg,10,中后卫
270,埃德·弗朗西斯,英格兰,不详,1999年9月11日,182cm,67kg,10,中后卫
271,埃德森（埃德森·桑塔纳·德·莫赖斯）,巴西（葡萄牙）双重国籍,dirty_data,1993年8月17日,188cm,89kg,10,门将
272,埃梅里克·拉波尔特,法国,阿让,1994年5月27日,191cm,85kg,10,中后卫
275,埃米尔·豪维斯,威尔士,拉内利,1993-09-30,181厘米,78公斤,10,中场
276,基尔·沃克,英格兰,谢菲尔德,1990年5月28日,183cm,83kg,10,右后卫
278,塞利纳,科索沃,普里兹伦,1996年9月9日,181cm,70kg,10,前腰
279,塞尔吉奥·莱昂内尔·阿圭罗,阿根廷（西班牙）双重国籍,布宜诺斯艾利斯,1988年6月2日,173cm,74kg,dirty_data,中锋
281,大卫·安德鲁·西曼,英国,罗瑟勒姆（英格兰）,1963-09-19,191厘米,83公斤,10,门将
282,奥特门迪,阿根廷,布宜诺斯艾利斯,1988年2月12日,183cm,81kg,10,中后卫
283,安东尼·卡塞雷斯,澳大利亚（乌拉圭）双重国籍,悉尼,1992年9月29日,173cm,67kg,10,中前卫
284,安古斯·古恩,英格兰（苏格兰）双重国籍,诺维奇,1996年1月22日,FromKB 196cm,77kg,10,门将
285,尼古拉斯·奥塔门迪,阿根廷,布宜诺斯艾利斯,1988年2月12日,183cm,81kg,10,中后卫
286,德万特·科尔,英格兰,Alderley Edge,1995-05-10,?170.0 CM,60.0 KG,10,前锋
287,德尔弗,英格兰（圭亚那）双重国籍,布拉德福德,1989年11月21日,174cm,60kg,10,中前卫
288,戴维·席尔瓦,西班牙,拉斯帕尔马斯,1986年1月8日,170cm,67kg,10,前腰
290,拉希姆·斯特林,牙买加,牙买加金斯敦,1994年12月08日,170cm,69kg,10,边锋
291,拉波特,法国（西班牙）双重国籍,阿让,1994年5月27日,191cm,85kg,10,中后卫
292,丹尼斯·苏亚雷斯,西班牙,萨尔塞达德卡塞拉斯,1994年1月6日,181cm,72kg,11,中场
293,伊万·拉基蒂奇,克罗地亚,瑞士莱茵费尔登,1988年3月10日,184cm,78kg,11,中前卫
294,内尔松·塞梅多,葡萄牙,里斯本,1993年11月16日,177cm,67kg,11,右边后卫
297,塞尔吉·罗伯托,西班牙,雷乌斯,1992年2月7日,178cm,68kg,11,中场
298,塞尔吉奥·布斯克茨,西班牙,萨瓦德尔,1988年7月16日,189cm,76kg,11,后腰
299,弗朗西斯科·费梅尼亚·法尔,西班牙,西班牙,1991-02-02,174厘米,61公斤,11,中场
300,拉斐尔·阿尔坎塔拉·多·纳斯西门托,巴西/西班牙,巴西圣保罗,1993年2月12日,174cm,71kg,11,中前卫
301,穆尼尔·埃尔·哈达迪·穆罕默德,西班牙,西班牙圣洛伦佐埃斯科里亚尔,1995年9月1日,1.77米,65Kg,11,前锋
302,约迪·阿尔巴,西班牙,奥斯皮塔莱特,1989年3月21日,170cm,68kg,11,左后卫
305,菲利佩·库蒂尼奥,巴西,里约热内卢,1992年6月12日,172cm,68kg,11,前腰（边前腰）
306,萨穆埃尔·乌姆蒂蒂,法国,喀麦隆雅温得,1993年11月14日,182cm,75kg,11,后卫
307,赫伊森·穆里略,哥伦比亚（西班牙）双重国籍,巴兰基亚,1992年5月27日,182cm,78kg,11,中后卫
309,赫苏斯·德拉克鲁斯,西班牙,莱昂（西班牙）,1947-05-07,170厘米,66公斤,11,后卫
310,阿图罗·比达尔,智利,圣地亚哥,1987年5月22日,181cm,77kg,11,中前卫
311,霍恩·米奎尔·托拉尔·哈佩尔,西班牙,西班牙,1995-02-05,167cm,65kg,11,后卫
312,马克-安德烈·特尔施特根,德国,门兴格拉德巴赫,1992年4月30日,187cm,85kg,11,门将
313,马尔科姆·席尔瓦·德·奥利维拉,巴西,圣保罗,1997年2月26日,171cm,71kg,dirty_data,边锋/影子前锋
315,齐博尔,匈牙利,匈牙利考波什堡,1929年8月23日,169厘米,67公斤,11,前锋
316,基科·卡西利亚,西班牙,阿尔科韦尔,1986年10月2日,190cm,84kg,12,门将
317,马塞洛,巴西（西班牙）双重国籍,里约热内卢,1988年5月12日,174cm,72kg,12,左后卫
318,纳乔·费尔南德斯,西班牙,马德里,1990年1月18日,180cm,77kg,12,中后卫
319,丹尼尔·卡瓦哈尔,西班牙,莱加内斯,1992年1月11日,173CM,73kg,12,右后卫
320,卡洛斯·恩里克·卡塞米罗,巴西,圣若泽杜斯坎普斯,1992年2月23日,185cm,84kg,12,防守型中场
321,卢卡斯·巴斯克斯,西班牙,柯蒂斯（Curtis）,1991年7月1日,173cm,70kg,12,右边锋/中场
323,哈维尔·阿库纳,巴拉圭,亚松森,1988年6月23日,175.0CM,70.0KG,12,前锋
325,弗朗西斯科·罗曼·阿拉尔孔·苏亚雷斯（伊斯科）,西班牙,贝纳尔马德纳（西班牙）,1992年4月21日,1.76米,74kg,12,左边锋
326,拉斐尔·瓦拉内,法国,里尔,1993年04月25日,191cm,78kg,12,中后卫
327,杰瑟·罗德里格斯,西班牙,拉斯帕尔玛斯,1993年2月26日,178cm,72kg,12,前锋
329,罗伯托·卡洛斯,巴西,圣保罗州加尔萨市,1973年4月10日,168cm,67kg,12,左后卫
332,丹尼尔·塞瓦略斯·费尔南德斯,西班牙,西班牙塞维利亚,1996年8月7日,176cm,65kg,12,中场
333,马尔科·阿森西奥,FromKB 西班牙,帕尔玛,1996年1月21日,180cm,75kg,12,边锋/中场
335,马里亚诺·迪亚兹,多米尼加/西班牙,西班牙巴塞罗那,1993年8月1日,1.80 m,76 kg,12,前锋
339,丹尼尔·卡里索,葡萄牙,Cascais,1988-08-04,182cm,79kg,13,后卫
340,何塞·卡洛斯·费尔南德斯,西班牙,未知（西班牙）,1987-07-17,176厘米,63公斤,13,前锋
341,加布里埃尔·梅尔卡多,阿根廷,马德林港（阿根廷）,1987-03-18,181厘米,85公斤,13,后卫
342,塞尔吉奥·里科·冈萨雷斯,西班牙,塞维利亚-安达卢西亚,1993年9月1日,194cm,88kg,13,门将
