n1, rela, n2
拉蒙·桑切斯·皮斯胡安球场, 外文名, Estadio Ramón Sánchez Pizjuán
拉蒙·桑切斯·皮斯胡安球场, 位置, 西班牙塞维利亚市
拉蒙·桑切斯·皮斯胡安球场, 类型, 球场
拉蒙·桑切斯·皮斯胡安球场, 观众容量, 45500人
拉蒙·桑切斯·皮斯胡安球场, 荣誉, 1982年世界杯场馆
拉蒙·桑切斯·皮斯胡安球场, 建议游玩时长, 2小时
拉蒙·桑切斯·皮斯胡安球场, 门票价格, 看比赛需要购票
拉蒙·桑切斯·皮斯胡安球场, tag, 足球场
拉蒙·桑切斯·皮斯胡安球场, tag, 营业场所
拉蒙·桑切斯·皮斯胡安球场, tag, 地点
拉蒙·桑切斯·皮斯胡安球场, tag, 体育设施
老特拉福德球场, 中文名称, 老特拉福德球场
老特拉福德球场, 外文名称, Old Trafford
老特拉福德球场, 类别, 专业足球场
老特拉福德球场, 地点, 英国大曼彻斯特郡
老特拉福德球场, 竣工时间, 1910年
老特拉福德球场, 开放时间, 9:40am-4:30pm
老特拉福德球场, 别名, 梦剧场
老特拉福德球场, 所属球队, 曼彻斯特联足球俱乐部
老特拉福德球场, 容量, 76212人
老特拉福德球场, 最佳游玩季节, 4-9月最佳
老特拉福德球场, 建议游玩时长, 1小时
老特拉福德球场, 门票价格, 团队游成人/儿童 £12/8
老特拉福德球场, 官方网站, manutd.com
老特拉福德球场, tag, 足球场
老特拉福德球场, tag, 足球
老特拉福德球场, tag, 地理
老特拉福德球场, tag, 地点
老特拉福德球场, tag, 体育设施
埃克塞尔·维特塞尔, 中文名, 埃克塞尔·维特塞尔
埃克塞尔·维特塞尔, 外文名, Axel Witsel
埃克塞尔·维特塞尔, 国籍, 比利时/法国
埃克塞尔·维特塞尔, 出生地, 马提尼克
埃克塞尔·维特塞尔, 出生日期, 1989年1月12日
埃克塞尔·维特塞尔, 身高, 186厘米
埃克塞尔·维特塞尔, 体重, 73公斤
埃克塞尔·维特塞尔, 运动项目, 足球
埃克塞尔·维特塞尔, 所属运动队, 多特蒙德足球俱乐部
埃克塞尔·维特塞尔, 场上位置, 中场
埃克塞尔·维特塞尔, 球衣号码, 28
埃克塞尔·维特塞尔, tag, 运动员
埃克塞尔·维特塞尔, tag, 足球运动员
埃克塞尔·维特塞尔, tag, 足球
埃克塞尔·维特塞尔, tag, 体育人物
埃克塞尔·维特塞尔, tag, 人物
拉斐尔·格雷罗, 中文名, 拉斐尔·格雷罗
拉斐尔·格雷罗, 外文名, Raphaël Guerreiro
拉斐尔·格雷罗, 国籍, 葡萄牙
拉斐尔·格雷罗, 国籍, 法国
拉斐尔·格雷罗, 出生地, 巴黎市勒布朗-梅斯尼尔镇（法国）
拉斐尔·格雷罗, 出生日期, 1993-12-22
拉斐尔·格雷罗, 身高, 170cm
拉斐尔·格雷罗, 体重, 63kg
拉斐尔·格雷罗, 运动项目, 足球
拉斐尔·格雷罗, 所属运动队, 多特蒙德足球俱乐部
拉斐尔·格雷罗, 专业特点, 进攻能力出色
拉斐尔·格雷罗, 主要奖项, 2016年法国欧洲杯冠军(葡萄牙)
拉斐尔·格雷罗, 主要奖项, 入选2016年法国欧洲杯最佳阵容(左后卫)
拉斐尔·格雷罗, 重要事件, 2016年7月11日，帮助葡萄牙队夺得欧洲杯冠军。
拉斐尔·格雷罗, 重要事件, 2016年6月16日，多特蒙德宣布从洛里昂签下拉斐尔-格雷罗。
拉斐尔·格雷罗, 重要事件, 12-13赛季因出色的状态入选法乙现为洛里昂的先发主力球员。
拉斐尔·格雷罗, 重要事件, 并凭借其出色表现入选了欧洲杯官方最佳阵容(左后卫)。
拉斐尔·格雷罗, tag, 运动员
拉斐尔·格雷罗, tag, 足球运动员
拉斐尔·格雷罗, tag, 足球
拉斐尔·格雷罗, tag, 人物
金斯利·科曼, 中文名, 金斯利·科曼
金斯利·科曼, 外文名, Kingsley Coman
金斯利·科曼, 国籍, 法国
金斯利·科曼, 出生地, 巴黎
金斯利·科曼, 出生日期, 1996年6月13日
金斯利·科曼, 身高, 178厘米
金斯利·科曼, 体重, 71公斤
金斯利·科曼, 运动项目, 足球
金斯利·科曼, 所属运动队, 拜仁慕尼黑足球俱乐部
金斯利·科曼, 专业特点, 纯粹的右脚球员
金斯利·科曼, 专业特点, 远射能力
金斯利·科曼, 专业特点, 出众的视野
金斯利·科曼, 主要奖项, 阿尔卡斯国际杯最佳球员
金斯利·科曼, 重要事件, 2014年7月转会尤文图斯
金斯利·科曼, 重要事件, 2015年8月租借拜仁慕尼黑
金斯利·科曼, tag, 运动员
金斯利·科曼, tag, 足球运动员
金斯利·科曼, tag, 足球
金斯利·科曼, tag, 体育人物
金斯利·科曼, tag, 人物
斯文·乌尔赖希, 中文名, 斯文·乌尔赖希
斯文·乌尔赖希, 外文名, Sven Ulreich
斯文·乌尔赖希, 国籍, 德国
斯文·乌尔赖希, 出生地, 绍恩多夫
斯文·乌尔赖希, 出生日期, 1988年8月3日
斯文·乌尔赖希, 毕业院校, 斯图加特青训
斯文·乌尔赖希, 身高, 192cm
斯文·乌尔赖希, 体重, 80kg
斯文·乌尔赖希, 运动项目, 足球
斯文·乌尔赖希, 所属运动队, 拜仁慕尼黑足球俱乐部
斯文·乌尔赖希, 场上位置, 门将
斯文·乌尔赖希, 惯用脚, 右脚
斯文·乌尔赖希, 球衣号码, 26号
斯文·乌尔赖希, tag, 运动员
斯文·乌尔赖希, tag, 足球运动员
斯文·乌尔赖希, tag, 足球
斯文·乌尔赖希, tag, 体育人物
斯文·乌尔赖希, tag, 人物
